frame num,avg search point nums(frame),MAD(frame)
2,10.4026,4.0915
3,10.4333,4.1318
4,10.4513,4.0767
5,10.3769,3.9866
6,10.5026,3.9783
7,10.3667,3.9001
8,10.1718,3.9098
9,10.1513,3.8783
10,10.1795,3.9212
11,10.0282,3.9266
12,10.0487,3.9071
13,9.7282,3.9155
14,9.6385,3.8275
15,9.5333,3.9068
16,9.5538,3.8559
17,9.4821,3.8719
18,9.4846,3.8456
19,9.3821,3.7845
20,9.3795,3.8528
21,9.3231,3.8278
22,9.3359,3.8435
23,9.2897,3.9054
24,9.1846,3.9699
25,9.1231,3.9280
26,9.0641,3.8788
27,9.0564,3.9056
28,9.0385,3.9052
29,9.0615,3.9637
30,9.1385,3.9428
31,9.1718,3.9039
32,9.2538,3.8390
33,9.2923,3.8297
34,9.1795,3.8075
35,9.1667,3.8626
36,9.1974,3.7373
37,9.2615,3.6612
38,9.3026,3.7146
39,9.0718,3.7400
40,9.0795,3.9669
41,9.0974,3.9875
42,9.2385,3.9023
43,9.3000,3.8881
44,9.2333,3.8702
45,9.2487,3.9832
46,9.3231,3.9424
47,9.4128,3.7453
48,9.6026,3.3125
49,9.8308,2.7291
50,14.2872,2.6658
51,14.8385,2.9946
52,15.0590,3.2241
53,15.1487,3.1572
54,15.6974,2.8404
55,19.7256,2.8068
56,20.7333,2.9483
57,21.0923,3.1084
58,22.8923,2.7470
59,26.5821,3.0532
60,27.8692,2.9388
61,32.7692,3.0151
62,34.1000,3.2519
63,35.3615,3.5736
64,38.0846,3.5035
65,38.6641,3.4839
66,39.3385,3.5614
67,39.2821,3.7451
68,39.5359,3.8358
69,39.7000,3.3327
70,39.6564,3.3724
71,38.6128,3.1541
72,35.8256,3.2679
73,33.0359,3.3986
74,31.0641,3.2984
75,26.9282,3.5154
76,24.6846,3.5134
77,20.6590,3.9451
78,19.5462,3.8438
79,15.7308,4.1485
80,15.4308,4.5140
81,15.5923,4.5679
82,16.0333,4.3126
83,16.0000,3.9803
84,14.6487,4.1563
85,14.2821,4.3116
86,13.9641,4.4117
87,13.5077,4.4769
88,13.3359,4.6072
89,13.4769,4.2169
90,13.7487,4.2879
91,13.5590,4.4848
92,13.3103,4.6308
93,13.5846,4.4995
94,13.3103,4.2670
95,12.8000,4.2089
96,12.8026,3.9401
97,12.0923,3.5685
98,12.1051,3.4020
99,15.3051,3.3342
100,16.2538,3.4253
101,16.5718,3.7077
102,16.4872,3.8419
103,16.3744,3.8867
104,16.3615,3.7499
105,16.3590,3.7733
106,16.5538,3.9146
107,16.4436,3.7600
108,16.3667,3.7642
109,16.6103,3.8924
110,17.0282,3.8998
111,16.8103,3.7422
112,16.4692,3.5432
113,15.9077,3.6669
114,13.8462,3.7338
115,14.3385,3.8499
116,14.5051,4.2981
117,14.5974,4.4989
118,15.1385,4.6775
119,14.9103,4.9192
120,14.4795,5.4178
121,14.3077,5.1055
122,14.5846,4.8944
123,14.5256,4.6259
124,14.4385,4.4420
125,14.8231,4.3221
126,13.9692,4.3280
127,13.3590,4.4525
128,13.2282,4.3204
129,12.6923,4.2337
130,12.5103,4.1987
131,11.9026,4.2529
132,11.3462,4.5119
133,11.0590,4.6890
134,11.3821,4.9415
135,12.4744,5.0190
136,12.2897,5.1254
137,13.6718,5.1854
138,13.7641,5.6946
139,15.2590,5.2741
140,16.0205,5.3303
141,16.1487,5.3623
142,16.6205,5.4579
143,16.5282,5.4159
144,16.7590,5.3567
145,16.5154,5.3543
146,15.5949,5.3078
147,15.7179,5.1397
148,15.7179,4.9342
149,15.5846,4.7215
150,15.3487,4.5519
151,15.2179,4.4210
152,15.2513,4.3563
153,14.0923,4.3712
154,13.6821,4.3788
155,13.0872,4.2418
156,14.0923,3.8144
157,14.7718,3.4712
158,15.5487,3.5778
159,19.0667,3.6266
160,19.4179,4.0209
161,20.2410,4.4472
162,19.9667,4.5144
163,20.9564,4.6053
164,20.3590,4.9475
165,20.1538,4.9344
166,19.9846,4.9552
167,19.0128,4.8202
168,18.2949,4.6645
169,15.7462,4.5541
170,14.9333,4.9077
171,14.4205,5.4013
172,14.2590,5.4252
173,13.8872,5.2361
174,13.4897,5.1228
175,13.2179,5.0221
176,13.1154,5.1000
177,12.8256,5.2416
178,12.5897,5.3398
179,12.1615,5.2858
180,11.8051,5.2981
181,11.2128,5.3620
182,11.0436,5.2849
183,11.0231,5.0998
184,10.8308,5.0759
185,10.8436,5.0419
186,10.8333,5.1534
187,10.9231,5.2429
188,10.8231,5.3228
189,10.8872,5.3155
190,10.7949,5.0927
191,11.0615,5.0257
192,11.0410,5.1381
193,10.9590,5.3102
194,11.0744,5.3167
195,10.7154,5.2549
196,10.6641,5.2239
197,10.6641,5.2511
198,10.7897,5.3195
199,10.6513,5.3393
200,10.5359,5.2701
201,10.6462,5.1690
202,10.5436,5.1670
203,10.6103,5.2237
204,10.6744,5.1980
205,10.6795,5.3116
206,10.6154,5.1962
207,10.4564,5.2759
208,10.3769,5.4934
209,10.5051,5.4615
210,10.2846,5.3941
211,10.2923,5.4649
212,10.3590,5.6163
213,10.3333,5.7321
214,10.3872,5.7112
215,10.2590,5.6386
216,10.1205,5.5835
217,10.1667,5.6749
218,10.3333,5.7534
219,10.5718,5.6249
220,10.6769,5.6434
221,10.4821,5.6115
222,10.5641,5.5368
223,10.4897,5.5337
224,10.3821,5.6543
225,10.4231,5.6874
226,10.3051,5.6539
227,10.5462,5.4161
228,10.5795,5.2151
229,10.7795,5.0216
230,10.7769,4.9623
231,10.8154,4.8907
232,10.7410,4.7492
233,10.7462,4.5898
234,10.5359,4.5719
235,10.3769,4.6140
236,10.4154,4.8138
237,10.1821,4.5526
238,10.1923,4.4664
239,10.1949,4.3395
240,10.3333,4.1734
241,10.2872,4.1925
242,10.5949,4.0652
243,10.9154,4.0437
244,11.0385,4.1504
245,11.0385,4.1548
246,11.1590,4.0849
247,10.9769,4.1047
248,11.0462,4.1974
249,11.0385,4.3264
250,10.7872,4.4137
251,10.8205,4.2989
252,10.7897,4.1805
253,10.9538,4.0885
254,11.0821,4.0731
255,11.1359,4.1303
256,11.2026,4.1579
257,11.2692,4.3932
258,11.4821,4.5010
259,11.4000,4.6302
260,11.7077,4.8687
261,11.9436,5.1446
262,11.7846,5.4895
263,12.7538,5.9300
264,14.5205,6.1907
265,17.5487,6.8197
266,19.5026,7.8578
267,21.9359,7.1214
268,22.0821,7.5332
269,23.4051,6.7398
270,23.6923,6.9891
271,22.9974,6.5596
272,22.4385,6.3757
273,22.9846,6.4739
274,22.9179,6.6887
275,24.2051,6.7569
276,24.2615,6.5873
277,25.4051,6.2674
278,24.3179,6.1255
279,22.9205,6.8400
280,22.7462,7.0676
281,23.3846,6.9594
282,21.9513,7.3064
283,21.9205,6.9711
284,22.3538,7.0729
285,23.5513,7.3896
286,26.2205,7.7912
287,29.5026,7.2485
288,29.5179,6.7270
289,28.6359,6.6798
290,28.0744,7.0904
291,27.6026,6.6318
292,26.5256,6.2838
293,26.1000,5.9660
294,23.8949,5.4162
295,23.2308,4.9747
296,21.9615,4.9790
297,21.4795,4.7779
298,21.0513,4.8530
299,20.0051,4.5233
300,19.9538,4.6303
301,19.1205,4.6627
302,18.6897,4.5741
303,18.4821,4.6174
304,18.7872,4.8129
305,19.4923,5.0744
306,19.2744,4.9217
307,20.0359,5.2260
308,19.8718,5.2617
309,19.7872,5.4869
310,20.2051,5.1870
311,19.9462,5.5708
312,19.6615,5.1761
313,19.0615,5.2424
314,18.5051,5.1450
315,19.2333,5.2620
316,19.2410,5.5500
317,19.4410,5.7713
318,19.1282,5.4986
319,18.3154,5.2893
320,17.8077,5.1015
321,17.5872,4.9567
322,16.8385,5.1984
323,16.6923,5.1728
324,15.3179,5.2783
325,14.7154,5.4715
326,13.9615,5.4180
327,13.0077,5.3488
328,12.4179,4.9477
329,12.0974,4.6461
330,12.1795,4.5637
331,12.0000,4.6363
332,11.9744,4.7701
333,12.5949,5.0010
334,12.7615,5.0324
335,13.0308,5.1801
336,13.5179,5.2924
337,13.6744,5.4742
338,14.6359,5.7412
339,15.2077,5.7638
340,15.7513,5.8029
341,15.7462,5.9163
342,16.2718,5.6583
343,17.0692,5.5428
344,17.7282,5.3232
345,18.3821,5.3967
346,19.5308,5.3036
347,19.0692,5.4089
348,19.3256,5.5252
349,18.7949,5.2430
350,19.2615,5.4053
351,18.8000,5.3379
352,18.1462,5.1330
353,15.9795,5.2484
354,16.2615,5.5631
355,16.4103,5.5317
356,17.3462,5.7168
357,18.2641,5.5723
358,18.6128,5.9669
359,18.8974,6.2555
360,18.9923,6.4156
361,19.7308,6.6059
362,19.7564,6.1424
363,20.1590,6.1305
364,19.9179,6.3841
365,20.3795,6.4209
366,20.9026,6.7956
367,21.1590,6.9503
368,21.8821,7.1704
369,23.4103,7.3982
370,24.5564,7.4650
371,25.2744,7.2210
372,24.9513,7.0864
373,25.7256,6.9699
374,25.0051,6.6079
375,26.2949,6.4887
376,25.4333,5.9893
377,24.6410,5.6736
378,22.6077,5.6560
379,21.2821,5.7676
380,20.6231,5.2771
381,20.3744,5.5645
382,22.7821,5.3668
383,23.0000,5.1586
384,23.6308,5.3444
385,25.0897,5.4634
386,24.5769,5.4503
387,25.6821,5.1124
388,25.8026,5.0551
389,25.2769,5.2019
390,25.2231,5.2718
391,25.4410,5.2042
392,25.0051,5.5521
393,24.6436,6.1632
394,24.1692,5.8224
395,24.4538,5.4945
396,23.8103,4.8246
397,23.5846,4.5775
398,23.7513,4.2321
399,23.4359,4.1814
400,22.8051,3.8741
401,22.1590,3.8865
402,22.1821,3.8369
403,21.8462,3.5762
404,19.7872,3.4751
405,18.3462,3.6435
406,18.0744,4.2571
407,18.3282,4.5112
408,17.6051,4.4538
409,17.8667,4.0803
410,17.6256,3.8461
411,16.2179,3.9186
412,13.7667,4.2734
413,13.2462,4.5758
414,13.2744,4.4394
415,13.6769,4.2563
416,15.9128,4.0122
417,16.3718,4.1965
418,16.5256,4.3833
419,16.5590,4.5636
420,16.8179,4.8329
421,16.8051,5.0522
422,16.9026,5.0235
423,16.8615,4.7155
424,17.2718,4.7370
425,17.1051,4.8533
426,17.7359,5.0374
427,19.0974,4.9982
428,20.9436,4.9918
429,21.3462,5.3906
430,21.6513,5.4923
431,21.9385,5.8230
432,22.4051,5.8257
433,23.2487,5.7237
434,24.6128,5.7545
435,25.8513,6.0208
436,27.6205,5.4563
437,28.3282,5.0697
